"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.607836587E2,6.778391093E1,2.482002869E1,2.330197832E2,1.259999990E0,3.500000000E2,3.790092468E0,2.500000000E0
1.617839068E2,6.778392279E1,2.482002881E1,2.329490157E2,1.320000052E0,6.999999881E-1,3.790092468E0,2.500000000E0
1.627842963E2,6.778393431E1,2.482003094E1,2.327809003E2,1.299999952E0,3.581000061E2,3.790092468E0,2.500000000E0
1.637837279E2,6.778394659E1,2.482003241E1,2.325949600E2,1.399999976E0,3.578999939E2,3.790092468E0,2.500000000E0
1.647841952E2,6.778395852E1,2.482003668E1,2.323555571E2,1.299999952E0,6.999999881E-1,3.790092468E0,2.500000000E0
1.657835187E2,6.778397018E1,2.482004299E1,2.323915479E2,1.320000052E0,5.000000000E0,3.790092468E0,2.500000000E0
1.667839021E2,6.778398164E1,2.482004567E1,2.323970783E2,1.309999943E0,4.000000060E-1,3.790092468E0,2.500000000E0
1.677833162E2,6.778399322E1,2.482004477E1,2.324505778E2,1.340000033E0,3.593999939E2,3.790092468E0,2.500000000E0
1.687836017E2,6.778400517E1,2.482004343E1,2.323770617E2,1.360000014E0,3.597999878E2,3.790092468E0,2.500000000E0
1.697842304E2,6.778401760E1,2.482004281E1,2.322340873E2,1.279999971E0,3.586000061E2,3.790092468E0,2.500000000E0
1.707841837E2,6.778402974E1,2.482004049E1,2.323033918E2,1.259999990E0,3.522999878E2,3.790092468E0,2.500000000E0
1.717840506E2,6.778404111E1,2.482003864E1,2.322375669E2,1.210000038E0,3.567999878E2,3.790092468E0,2.500000000E0
1.727843017E2,6.778405165E1,2.482003667E1,2.321397614E2,1.220000029E0,3.548999939E2,3.790092468E0,2.500000000E0
1.737835882E2,6.778406246E1,2.482003498E1,2.317516113E2,1.269999981E0,3.580000000E2,3.790092468E0,2.500000000E0
1.747838834E2,6.778407347E1,2.482003653E1,2.316186527E2,1.240000010E0,3.400000095E0,3.790092468E0,2.500000000E0
1.757838932E2,6.778408386E1,2.482003717E1,2.316545787E2,1.289999962E0,4.000000060E-1,3.790092468E0,2.500000000E0
1.767839983E2,6.778409442E1,2.482003671E1,2.316775024E2,1.240000010E0,3.000000119E-1,3.790092468E0,2.500000000E0
1.777843018E2,6.778410570E1,2.482003908E1,2.316038703E2,1.279999971E0,2.700000048E0,3.790092468E0,2.500000000E0
1.787836347E2,6.778411704E1,2.482004035E1,2.315205931E2,1.210000038E0,3.583999939E2,3.790092468E0,2.500000000E0
1.797835127E2,6.778412811E1,2.482003989E1,2.317008643E2,1.210000038E0,3.576000061E2,3.790092468E0,2.500000000E0
1.807839412E2,6.778413964E1,2.482003637E1,2.320259062E2,1.179999948E0,3.480000000E2,3.790092468E0,2.500000000E0
1.817836453E2,6.778415159E1,2.482002951E1,2.319601349E2,1.200000048E0,3.417999878E2,3.790092468E0,2.500000000E0
1.827836500E2,6.778416350E1,2.482002563E1,2.314825021E2,1.220000029E0,3.520000000E2,3.790092468E0,2.500000000E0
1.837835677E2,6.778417520E1,2.482002399E1,2.312997333E2,1.200000048E0,3.550000000E2,3.790092468E0,2.500000000E0
1.847839101E2,6.778418644E1,2.482002409E1,2.312818847E2,1.090000033E0,3.551000061E2,3.790092468E0,2.500000000E0
1.857835603E2,6.778419749E1,2.482002605E1,2.313192145E2,1.100000024E0,1.500000000E0,3.790092468E0,2.500000000E0
1.867840226E2,6.778420863E1,2.482002975E1,2.311183870E2,1.129999995E0,4.699999809E0,3.790092468E0,2.500000000E0
1.877833883E2,6.778421964E1,2.482003507E1,2.313276570E2,1.179999948E0,1.080000019E1,3.790092468E0,2.500000000E0
1.887835509E2,6.778423097E1,2.482003721E1,2.313083457E2,1.220000029E0,6.000000238E-1,3.790092468E0,2.500000000E0
1.897834338E2,6.778424237E1,2.482003682E1,2.314392388E2,1.159999967E0,3.585000000E2,3.790092468E0,2.500000000E0
1.907840021E2,6.778425451E1,2.482003457E1,2.316742539E2,1.269999981E0,3.572000122E2,3.790092468E0,2.500000000E0
1.917842517E2,6.778426642E1,2.482003404E1,2.316521304E2,1.230000019E0,3.099999905E0,3.790092468E0,2.500000000E0
1.927837039E2,6.778427713E1,2.482003257E1,2.317269325E2,1.159999967E0,3.578999939E2,3.790092468E0,2.500000000E0
1.937838339E2,6.778428777E1,2.482002949E1,2.321009272E2,1.139999986E0,3.567999878E2,3.790092468E0,2.500000000E0
1.947836490E2,6.778429851E1,2.482002839E1,2.321856784E2,1.179999948E0,3.581000061E2,3.790092468E0,2.500000000E0
1.957840229E2,6.778430895E1,2.482003015E1,2.319039176E2,1.110000014E0,5.199999809E0,3.790092468E0,2.500000000E0
1.967840860E2,6.778431863E1,2.482003000E1,2.317527106E2,1.110000014E0,3.583999939E2,3.790092468E0,2.500000000E0
1.977843536E2,6.778432844E1,2.482003170E1,2.317688028E2,1.169999957E0,1.130000019E1,3.790092468E0,2.500000000E0
1.987838180E2,6.778433802E1,2.482003416E1,2.317900234E2,1.039999962E0,4.599999905E0,3.790092468E0,2.500000000E0
1.997842154E2,6.778434731E1,2.482003323E1,2.316585306E2,1.080000043E0,3.562000122E2,3.790092468E0,2.500000000E0
2.007836000E2,6.778435622E1,2.482003119E1,2.316406849E2,1.070000052E0,3.563999939E2,3.790092468E0,2.500000000E0
2.017841103E2,6.778436657E1,2.482003228E1,2.317048098E2,1.179999948E0,5.500000000E0,3.790092468E0,2.500000000E0
2.027834018E2,6.778437641E1,2.482003326E1,2.320319972E2,1.059999943E0,1.899999976E0,3.790092468E0,2.500000000E0
2.037837081E2,6.778438680E1,2.482003511E1,2.321741258E2,1.059999943E0,5.599999905E0,3.790092468E0,2.500000000E0
2.047835250E2,6.778439816E1,2.482003586E1,2.323547640E2,1.169999957E0,3.700000048E0,3.790092468E0,2.500000000E0
2.057833488E2,6.778441011E1,2.482003794E1,2.321447164E2,1.169999957E0,3.588999939E2,3.790092468E0,2.500000000E0
